,MURI_021,MURI_022,MURI_030,MURI_031,MURI_039,MURI_040,MURI_048,MURI_049,MURI_057,MURI_058,MURI_073,MURI_074,MURI_075,MURI_076,MURI_081,MURI_083,MURI_084,MURI_086,MURI_088,MURI_090,MURI_092,MURI_094,MURI_096,MURI_102,MURI_103,MURI_112,MURI_113,MURI_114,MURI_116,MURI_124,MURI_125,MURI_126,MURI_128,MURI_136,MURI_137,MURI_138,MURI_140
ECB_00013,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.31790277430108,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.04468529003581,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.956279466977392,-1.00561683399571,-0.544869860942489,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571
ECB_00014,6.52947681985609,4.01926221529158,7.49771386772004,4.54444753819504,5.23051944021223,7.06071478841208,3.86678718759774,6.3146615572323,5.37665479090774,6.26611324307879,4.76712249810812,1.55600616606926,1.42355740858648,5.56273779480841,7.23915896807509,4.11163601089961,8.02080167743842,6.49104707146985,7.98303230235824,6.2029777272886,6.79965593149581,6.43462987576708,4.80737629191883,4.60170477885197,3.30737502692273,6.32084000058192,7.10890306077715,6.00868902561099,8.34922286756651,5.65495249231664,6.28513836617423,5.24370350030801,8.69879888271914,5.28898059216904,5.64360087306501,1.46393462202154,7.18900301292462
ECB_00015,1.7339603467871,1.10451902518148,2.38629849142442,0.716665695175811,1.61610891687303,2.4196383000507,-1.00561683399571,3.05928268534137,1.10300506165514,1.72024694893861,1.01002071771606,1.55600616606926,2.65378541189651,2.42142136874515,2.6592409148083,-1.00561683399571,4.62682430435408,4.3069723716802,2.38068345687049,2.13766667172632,2.96669212938702,1.5435382187692,-1.00561683399571,2.14870937472268,1.25095081942347,2.21515560292139,2.73746989114601,-1.00561683399571,4.26050888275802,3.31499698026846,1.12940665466883,1.01922503921364,3.46585496223667,0.945486063201643,1.97564606639773,-1.00561683399571,2.78353352333296
ECB_00016,-1.00561683399571,-1.00561683399571,0.631563143035222,1.72941710042363,2.05725233189452,1.95072576724406,-1.00561683399571,-1.00561683399571,1.10300506165514,1.04468529003581,1.01002071771606,-1.00561683399571,-1.00561683399571,0.979751007580595,3.25495467762412,1.56082104659606,3.52712487184891,1.87644905633214,0.628074683817144,-1.00561683399571,1.67942976891989,0.583624149475551,2.15833725089341,-1.00561683399571,1.9667423436218,-1.00561683399571,0.409785388242101,-1.00561683399571,0.646099854993164,1.25646594466545,1.12940665466883,-1.00561683399571,1.2196785387649,1.59995684492287,1.97564606639773,-1.00561683399571,0.887166995894152
ECB_00017,2.18550694205654,1.79224471783389,1.21130776791487,1.31790277430108,-1.00561683399571,0.87904025142813,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.72024694893861,1.01002071771606,-1.00561683399571,-1.00561683399571,2.08509626757708,-1.00561683399571,-1.00561683399571,0.00804877050670008,1.30036321776884,1.60611371554942,1.01958901591411,1.67942976891989,1.15084684365972,1.70894058163646,1.02798834777477,-1.00561683399571,1.07875665052434,1.57991877861144,-1.00561683399571,0.646099854993164,-1.00561683399571,1.82207115892421,1.01922503921364,1.62032760865232,-1.00561683399571,0.897596777823024,-1.00561683399571,0.887166995894152
ECB_00018,4.33790350695073,4.57513498095843,5.38007746853035,4.63995509222537,4.85505071844677,5.93389909475974,4.96494741066517,3.05928268534137,5.33195306038304,6.3732924046141,5.35490952847215,3.47469329690562,3.30233076058136,5.97022414068461,7.18704262930939,3.18929628202807,4.47549596362144,4.53147579979776,4.69112829273474,4.95332636241635,4.97481196660245,5.57750373750773,4.61327723387384,4.53075196263349,3.9874514274524,4.68129643663787,6.47961883979995,4.18203704869534,5.43214103331148,3.85302487024162,3.51274310918364,4.28043804634648,4.71012813227035,3.23849219492647,4.99947510400496,3.80169298106172,5.30393245554286
ECB_00019,-1.00561683399571,-1.00561683399571,0.631563143035222,2.71054602996467,-1.00561683399571,2.12497245124962,1.98470183076886,-1.00561683399571,1.79042804382631,1.72024694893861,1.67834476671753,-1.00561683399571,3.74732277194544,2.42142136874515,-1.00561683399571,-1.00561683399571,2.12827165647513,1.70997903175022,1.60611371554942,-1.00561683399571,1.99261407455985,-1.00561683399571,1.03532034288534,1.02798834777477,2.78923119119234,-1.00561683399571,1.29410739759113,-1.00561683399571,1.9414251922873,-1.00561683399571,-1.00561683399571,1.01922503921364,-1.00561683399571,0.945486063201643,0.897596777823024,-1.00561683399571,2.36316358107565
ECB_00020,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.87904025142813,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-0.356732823290813,-0.114939760815496,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.583624149475551,-1.00561683399571,1.02798834777477,-1.00561683399571,-1.00561683399571,0.409785388242101,-1.00561683399571,-1.00561683399571,-1.00561683399571,1.12940665466883,-1.00561683399571,0.638219097962076,0.945486063201643,-1.00561683399571,-1.00561683399571,-1.00561683399571
ECB_00021,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.979751007580595,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-0.00976299257872103
ECB_00022,-1.00561683399571,1.10451902518148,-1.00561683399571,0.716665695175811,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,0.680589843079715,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571,-1.00561683399571
