,MURI_016,MURI_017,MURI_018,MURI_019,MURI_020,MURI_025,MURI_026,MURI_027,MURI_028,MURI_029,MURI_034,MURI_035,MURI_036,MURI_037,MURI_038,MURI_043,MURI_044,MURI_045,MURI_046,MURI_047,MURI_052,MURI_053,MURI_054,MURI_055,MURI_056,MURI_069,MURI_070,MURI_071,MURI_072,MURI_077,MURI_078,MURI_079,MURI_080,MURI_085,MURI_087,MURI_089,MURI_091,MURI_093,MURI_095,MURI_097,MURI_098,MURI_099,MURI_100,MURI_101,MURI_106,MURI_107,MURI_108,MURI_110,MURI_118,MURI_119,MURI_120,MURI_122,MURI_130,MURI_131,MURI_132,MURI_134
YP_003045183.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.7308264588181,1.45620461278539,1.45620461278539,1.45620461278539,2.38039186693315,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.5211844276545,2.51266511748621,2.83098429891769,1.45620461278539,1.45620461278539,1.45620461278539,2.44168614405983,1.45620461278539,1.45620461278539,1.45620461278539,2.33621851873048,2.34586640156449,2.53307752254812,2.54336184352621,2.97200137754779,2.44843486094256,2.44967404387083,2.54951799686112,3.17853123658218,2.67603456829401,1.45620461278539,1.45620461278539,2.28151186945927,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.41593597205036,2.43473746764489,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.51221962149606,1.45620461278539
YP_003045184.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.16281532778653,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.53307752254812,2.40306003074119,2.29246047889205,2.03650659825432,2.83592412077011,2.83090147112569,3.12594907371945,2.59008064409612,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.42801462785779,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045185.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.13556182399041,1.45620461278539,1.92899547606364,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045186.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.39400703963932,2.23381202509065,2.29246047889205,2.2715258874889,2.16549104159058,2.32804950573326,2.38333932687557,2.12190634702315,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045187.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.16281532778653,2.49570391602651,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.34586640156449,2.65366054621049,2.87124182471808,2.75293648303859,1.45620461278539,2.75251250789529,2.87901495774262,2.58252601942189,2.89733161974641,1.45620461278539,1.45620461278539,1.45620461278539,2.52058522917589,2.64623260141572,3.21897883348175,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.44239408655257,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.9196444862395,1.45620461278539
YP_003045188.1,1.45620461278539,1.45620461278539,2.3728831633648,2.379876944523,2.37166305830431,2.3734297358274,1.45620461278539,1.45620461278539,1.45620461278539,3.00318197342212,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.44599495897669,2.49570391602651,2.4571392375241,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,3.59320340954658,3.66112241092462,3.06721358107433,3.19627014088681,3.34485342892969,3.72026297968007,3.8424358272964,3.72731137851631,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.54361778694475,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045189.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.33621851873048,1.45620461278539,3.64270784646251,3.75539704675666,3.06721358107433,3.80188034084492,3.77994432410553,3.36976995958199,4.50763599484795,3.4239504854058,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.41783365410299,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045190.1,1.45620461278539,2.36738833202471,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.38039186693315,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.49570391602651,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.85824829595413,2.77321374207518,1.45620461278539,2.59486322095047,2.75251250789529,2.96933515122941,2.58252601942189,2.75513178069899,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.96148642947941,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045191.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.22629456109395,2.23381202509065,2.05160555530703,2.03650659825432,2.16549104159058,2.13556182399041,2.11732740879118,1.92899547606364,1.45620461278539,2.29133788197603,1.45620461278539,2.21716913707173,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045192.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.16281532778653,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.94745422261072,3.12201953770464,2.47359078200525,2.83426048543046,2.56176341788487,3.20408031609329,3.07092044704128,3.08123571069831,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.43797340204127
YP_003045193.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.44918703585389,1.45620461278539,2.35759237893354,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.65366054621049,2.40306003074119,2.75293648303859,2.83426048543046,2.44967404387083,2.67175195271356,2.2624810095512,3.02317224360678,1.45620461278539,2.29133788197603,1.45620461278539,1.45620461278539,2.89498753167408,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045194.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.37166305830431,1.45620461278539,1.45620461278539,3.00617944048796,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.16281532778653,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,3.1794566290405,3.12201953770464,3.23716080287798,3.11583376894572,3.44443965430317,3.23905682194783,3.22890518957754,3.18939715652301,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045195.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.5211844276545,2.51266511748621,2.98021873679635,2.49570391602651,2.4571392375241,1.45620461278539,1.45620461278539,1.45620461278539,2.95842330305791,2.35123823601386,1.45620461278539,1.45620461278539,3.94542346566875,3.80013397786108,4.03606361071972,3.89537594312797,4.04754197060072,3.99685083203779,4.06745200326165,3.94536732782946,2.26383790075506,1.45620461278539,2.6084734655186,2.52058522917589,2.89498753167408,2.51455268829982,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.41593597205036,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045196.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.37961508431839,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.51266511748621,2.44599495897669,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.95842330305791,2.35123823601386,2.68283385303278,3.49593432658683,2.76100396664857,2.87124182471808,2.86799564883862,2.2715258874889,2.44967404387083,2.78051940415455,2.74660374522413,2.49551430573012,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,3.555912428836,2.21276479480329,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.77851917125565,2.41593597205036,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.41783365410299,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045197.1,1.45620461278539,2.36738833202471,1.45620461278539,1.45620461278539,2.37166305830431,2.3734297358274,3.56428475198138,3.22114966038525,4.06062916613682,3.40000784513447,2.62775759525361,1.45620461278539,3.45116878725332,2.93160399156128,2.92023904102442,3.61588359422807,2.89758507493985,2.84594231655333,2.83527032247215,3.10524078426389,3.18342841464107,2.95842330305791,2.70318892042614,3.73848712643401,3.34041989241774,2.85824829595413,2.77321374207518,3.06721358107433,2.59486322095047,2.66175282808532,3.20408031609329,2.74660374522413,2.96201242046381,3.57489395663525,3.94469157744551,4.09092574693382,2.93080494847503,3.26980526760198,2.92275789644872,2.80527450815516,1.45620461278539,2.79298015936847,2.75566009669542,2.76229004857168,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.43797340204127
YP_003045198.1,2.72704028855216,2.36738833202471,2.3728831633648,1.45620461278539,1.45620461278539,1.45620461278539,2.37961508431839,1.45620461278539,2.74262259588366,1.45620461278539,2.62775759525361,2.58463343190018,3.45116878725332,1.45620461278539,1.45620461278539,3.52991840564059,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,3.16804452724021,3.35072202744883,3.32187847021576,3.16262952533176,3.98359210509828,3.88535238794553,4.03606361071972,3.7013390304493,4.04754197060072,4.08979104490217,4.0145976515894,4.15793279084743,2.26383790075506,1.45620461278539,2.6084734655186,2.93080494847503,4.16238008239308,2.21276479480329,1.45620461278539,1.45620461278539,1.45620461278539,2.39004710767457,1.45620461278539,2.77851917125565,1.45620461278539,3.09432144529808,2.80476280675,1.45620461278539,2.44239408655257,1.45620461278539,2.41783365410299,3.70956506703075,3.18643025449061,3.97900608773967,1.45620461278539
YP_003045199.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.16281532778653,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.34586640156449,2.39400703963932,2.54336184352621,2.29246047889205,2.2715258874889,1.45620461278539,2.40848036360499,2.38333932687557,2.26801880286088,2.58437739776316,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539
YP_003045200.1,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.65736528636537,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.34891630663093,1.45620461278539,1.45620461278539,2.34586640156449,2.39400703963932,2.23381202509065,2.29246047889205,2.2715258874889,2.16549104159058,2.01258234511513,2.2624810095512,2.26801880286088,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.64623260141572,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,1.45620461278539,2.49360825206977,2.51221962149606,1.45620461278539
