"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"35",35,"linear",1,0.215443469003188,NA,NA,NA,NA,0.130909090909091,0.869090909090909,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"36",36,"linear",0.990430622009569,0.681292069057961,NA,NA,NA,NA,0.58994708994709,0.41005291005291,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"37",37,"linear",0.990430622009569,3.16227766016838,NA,NA,NA,NA,0.398086124401914,0.601913875598086,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"38",38,"linear",0.948242754837182,14.6779926762207,NA,NA,NA,NA,0.345029239766082,0.654970760233918,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"39",39,"linear",0.971811470263483,0.316227766016838,NA,NA,NA,NA,0.164529914529915,0.835470085470085,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"40",40,"linear",0.953153893463491,31.6227766016838,NA,NA,NA,NA,0.272904483430799,0.727095516569201,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"41",41,"linear",0.995215311004785,31622.7766016838,NA,NA,NA,NA,0.185353535353535,0.814646464646465,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"42",42,"linear",1,1,NA,NA,NA,NA,0.0779220779220779,0.922077922077922,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"43",43,"linear",0.980690424126957,10,NA,NA,NA,NA,0.120401337792642,0.879598662207358,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"44",44,"linear",0.971164274322169,4.64158883361278,NA,NA,NA,NA,0.274483970136144,0.725516029863856,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"45",45,"linear",0.986425339366516,0.316227766016838,NA,NA,NA,NA,0.040133779264214,0.959866220735786,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"46",46,"linear",1,2.15443469003188,NA,NA,NA,NA,0.294372294372294,0.705627705627706,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"47",47,"linear",0.990430622009569,14.6779926762207,NA,NA,NA,NA,0.185353535353535,0.814646464646465,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"48",48,"linear",0.980430622009569,1,NA,NA,NA,NA,0.195488721804511,0.804511278195489,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"49",49,"linear",0.960861244019139,1.46779926762207,NA,NA,NA,NA,0.185353535353535,0.814646464646465,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"50",50,"linear",0.990430622009569,31.6227766016838,NA,NA,NA,NA,0.111455108359133,0.888544891640867,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"51",51,"linear",0.976386673755095,10,NA,NA,NA,NA,0.161904761904762,0.838095238095238,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"52",52,"linear",0.985956051745525,14.6779926762207,NA,NA,NA,NA,0.0380952380952381,0.961904761904762,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"53",53,"linear",0.995215311004785,68.1292069057961,NA,NA,NA,NA,0.173892773892774,0.826107226107226,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"54",54,"linear",0.995475113122172,3.16227766016838,NA,NA,NA,NA,0.130909090909091,0.869090909090909,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"55",55,"linear",0.946251993620415,0.146779926762207,NA,NA,NA,NA,0.288888888888889,0.711111111111111,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"56",56,"linear",0.995215311004785,21.5443469003188,NA,NA,NA,NA,0.0923076923076923,0.907692307692308,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"57",57,"linear",0.9807336523126,2.15443469003188,NA,NA,NA,NA,0.133333333333333,0.866666666666667,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"58",58,"linear",0.975956051745525,21544346.9003188,NA,NA,NA,NA,0.278195488721805,0.721804511278195,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"59",59,"linear",0.990430622009569,1.46779926762207,NA,NA,NA,NA,0.122610722610723,0.877389277389277,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"60",60,"linear",1,1e+07,NA,NA,NA,NA,0.16025641025641,0.83974358974359,0.98551945627281,0.813189585709721,"int_mRNA_protein_phase"
"61",1,"radial",0.985645933014354,21544.3469003188,0.000111111111111111,NA,NA,NA,0.0833333333333334,0.916666666666667,0.988408837545705,0.804569570478155,"int_mRNA_protein_phase"
"62",2,"radial",0.985905735131741,100,0.0515732092623642,NA,NA,NA,0.114285714285714,0.885714285714286,0.988408837545705,0.804569570478155,"int_mRNA_protein_phase"
