"","glucose","glycerol","Na_50_stress","stationary","late_stationary"
"YP_003046180.1",3.09516685171297,3.00218292088722,1.33202218170074,1.33202218170074,2.99711262522607
"YP_003046181.1",4.4068886231937,4.12796623101404,4.32065054410869,5.49609421669018,3.98766754478884
"YP_003046183.1",5.83319463457912,6.45714259939472,4.54512472724058,6.48322985828828,4.43187767418663
"YP_003046202.1",6.49195706638851,6.07662627748661,6.04431918152826,8.64875924890935,7.93395548038352
"YP_003046204.1",5.77825264342303,6.17030024328386,5.73779859427392,6.95053137834038,7.23802429921763
"YP_003046205.1",7.64817525015205,7.66678746212947,7.99930683112305,9.39871212150352,9.59299828030341
"YP_003046208.1",8.52163390339979,8.45811717304055,8.54440095119985,10.1209908390642,10.2071645998336
"YP_003046209.1",2.88037648827219,4.89194859517448,2.35782870369234,2.58223050611022,2.99711262522607
"YP_003046212.1",5.77825264342303,5.81167663022883,6.08725901715281,5.36088758644456,3.58400938267761
"YP_003046214.1",8.20304069951071,7.09667527369795,8.36435255720781,6.90279587007502,6.77839568607203
"YP_003046217.1",12.2797666406647,12.3844191512279,12.4463536129313,14.4427241673489,14.3385544397276
"YP_003046218.1",6.4748030216454,6.25824786624567,6.42507158547395,6.07273922825449,5.33751260943957
"YP_003046219.1",10.3322171152941,10.3305593995908,10.5174382570535,12.5852732819344,12.8059782243306
"YP_003046220.1",7.23992084209772,6.56450293848769,7.34827946395202,7.63040984172514,5.84104150658225
"YP_003046221.1",10.3853545010164,10.3523468621328,10.5310911701913,9.97000007882515,10.0757426938673
"YP_003046223.1",11.8189542406736,11.301273231367,11.9483198034483,9.84302039672972,9.70398242346625
"YP_003046225.1",3.5094684663768,6.18533645077005,5.3237767251324,6.95053137834038,7.08729927321046
"YP_003046226.1",9.38790144359418,9.31071790714093,9.47673979178009,8.29850299361479,8.74759534256401
"YP_003046227.1",6.68329646346358,6.48170149036529,6.9282367176695,4.23119153311507,4.55329196948072
"YP_003046230.1",11.0691926098308,10.8378520428057,10.7909325274954,12.5091457442351,12.8250786654816
"YP_003046231.1",10.5298014007461,10.6731651156289,10.713787700075,10.9750587870863,10.7923662636745
"YP_003046232.1",5.88611321215955,5.81167663022883,5.9543913886601,7.227364881608,6.28424234534394
"YP_003046233.1",8.2741245228155,8.0823481156493,8.21445468167166,7.10615849471832,7.08729927321046
"YP_003046235.1",8.82363820885156,8.31864319207925,8.93516553365738,11.0481578801122,11.2301770757322
"YP_003046236.1",12.1430257575167,11.8346781247689,12.3256428644117,12.3380689611604,12.9221892710023
"YP_003046237.1",6.99132769103098,6.60976543170047,6.65163052257587,3.65292219536104,3.98766754478884
"YP_003046239.1",8.6416926021715,8.6784601883925,8.53410578649256,6.1967835852189,5.88747278968006
"YP_003046240.1",8.78591494964746,8.78088704277604,9.12375828238532,10.9678308375416,10.3233996764993
"YP_003046252.1",6.77021118298554,6.64280291797574,6.81369220901774,5.88872314868395,5.58329283456233
"YP_003046253.1",11.1089672786493,11.4555718772588,11.2301424142614,14.2196038688531,13.6391642166558
"YP_003046254.1",8.74717869861852,8.85789473306242,8.95072982991228,10.5660165787309,10.4211522838163
"YP_003046255.1",7.46497338843725,7.62332905473178,7.57613717547109,5.78705584034089,5.93245113032323
"YP_003046257.1",4.4068886231937,3.8471638560298,4.66441996212522,1.33202218170074,1.33202218170074
"YP_003046258.1",1.33202218170074,2.1118264919796,1.33202218170074,4.38030647697123,4.2989586727291
"YP_003046260.1",5.96200860260574,5.84995388983475,5.93884111556786,5.13062380984326,4.2989586727291
"YP_003046262.1",7.87418801184577,6.41950078651895,7.99180278170749,7.45951180755968,6.77839568607203
"YP_003046263.1",11.2317046245908,10.3515149388481,11.4178676344914,10.9808151864965,12.0869193754385
"YP_003046266.1",6.19994397288915,6.39384832549704,6.36820253777613,9.05565794305732,8.74759534256401
"YP_003046267.1",5.61533526365241,6.18533645077005,5.24989914869935,5.43008508218018,5.33751260943957
"YP_003046268.1",4.97310039096793,6.45714259939472,5.299572241739,7.84761688394,7.00558384949969
"YP_003046270.1",6.03409833408609,6.8072476597977,6.43618080078484,8.71242184609022,7.43814391596837
"YP_003046271.1",5.53469218808371,5.30527929475718,5.24989914869935,6.66595307891671,6.96292086091762
"YP_003046273.1",8.18734178011156,8.0823481156493,8.38741175972725,6.97381913459836,7.32480610953714
"YP_003046274.1",10.6348089011478,10.6105675784351,10.7789940037985,10.8086442086742,11.4429544762541
"YP_003046275.1",7.7443022282233,7.33086129093792,7.66375066342635,9.15064414280375,9.32483741516088
"YP_003046276.1",12.770779575373,12.5369167391503,12.987094401259,13.3953579363214,13.7715088875452
"YP_003046277.1",3.82319208395717,5.41166012081357,2.35782870369234,3.38751980128546,2.99711262522607
"YP_003046278.1",4.07762636155698,3.3865301452247,4.66441996212522,3.38751980128546,5.58329283456233
"YP_003046279.1",8.45326786721933,8.81024875070699,8.49748285208322,10.7725954021948,9.63435073376387
"YP_003046282.1",8.90267169173095,8.44569702046446,8.79991869733722,9.29625332815893,9.49911526485327
"YP_003046283.1",4.54638556963982,5.73192001361997,4.97176734168906,10.6800941365852,7.87766445088313
